"","nombre_curso","genero","periodo","curso","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento"
"26773","ANALISIS Y DISE\O DE SISTEMAS 2",2,6,785,2015,2012,60,78,"DESARROLLO DE SOFTWARE",1992
"26774","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,64,86,"DESARROLLO DE SOFTWARE",1989
"26775","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,74,96,"DESARROLLO DE SOFTWARE",1994
"26776","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,64,82,"DESARROLLO DE SOFTWARE",1992
"26777","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,0,0,"DESARROLLO DE SOFTWARE",1989
"26778","ANALISIS Y DISE\O DE SISTEMAS 2",2,6,785,2015,2012,67,89,"DESARROLLO DE SOFTWARE",1991
"26779","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,71,89,"DESARROLLO DE SOFTWARE",1992
"26780","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,63,85,"DESARROLLO DE SOFTWARE",1994
"26781","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,69,87,"DESARROLLO DE SOFTWARE",1994
"26782","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,73,97,"DESARROLLO DE SOFTWARE",1995
"26783","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,56,74,"DESARROLLO DE SOFTWARE",1986
"26784","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,69,91,"DESARROLLO DE SOFTWARE",1993
"26785","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,59,81,"DESARROLLO DE SOFTWARE",1993
"26786","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,55,77,"DESARROLLO DE SOFTWARE",1988
"26787","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,65,86,"DESARROLLO DE SOFTWARE",1993
"26788","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,72,97,"DESARROLLO DE SOFTWARE",1990
"26789","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,62,80,"DESARROLLO DE SOFTWARE",1994
"26790","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,70,92,"DESARROLLO DE SOFTWARE",1993
"26791","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,67,85,"DESARROLLO DE SOFTWARE",1993
"26792","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,72,90,"DESARROLLO DE SOFTWARE",1993
"26793","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,69,87,"DESARROLLO DE SOFTWARE",1993
"26794","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,62,80,"DESARROLLO DE SOFTWARE",1991
"26795","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,0,0,"DESARROLLO DE SOFTWARE",1994
"26796","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,66,84,"DESARROLLO DE SOFTWARE",1991
"26797","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,60,75,"DESARROLLO DE SOFTWARE",1972
"26798","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,73,91,"DESARROLLO DE SOFTWARE",1993
"26799","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,66,87,"DESARROLLO DE SOFTWARE",1992
"26800","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,70,92,"DESARROLLO DE SOFTWARE",1991
"26801","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,66,87,"DESARROLLO DE SOFTWARE",1993
"26802","ANALISIS Y DISE\O DE SISTEMAS 2",1,6,785,2015,2012,68,83,"DESARROLLO DE SOFTWARE",1989
"26803","ANALISIS Y DISE\O DE SISTEMAS 2",1,5,785,2017,2013,61,82,"DESARROLLO DE SOFTWARE",1994
