"","curso","nombre_curso","genero","periodo","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento","semestre","creditos","obligaroriedad"
"36142",964,"ORGANIZACION COMPUTACIONAL",2,5,2016,2013,39,52,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36143",964,"ORGANIZACION COMPUTACIONAL",1,6,2017,2015,49,74,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36144",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,39,52,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36145",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,36,49,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36146",964,"ORGANIZACION COMPUTACIONAL",1,6,2017,2014,55,80,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36147",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,43,43,"CIENCIAS DE LA COMPUTACION",1997,5,3,"Si"
"36148",964,"ORGANIZACION COMPUTACIONAL",2,5,2016,2014,0,0,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36149",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,0,0,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36150",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,38,57,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36151",964,"ORGANIZACION COMPUTACIONAL",1,6,2017,2013,50,69,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36152",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,38,51,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36153",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,42,55,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36154",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,38,57,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36155",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,10,10,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36156",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,52,65,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36157",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,47,72,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36158",964,"ORGANIZACION COMPUTACIONAL",2,5,2016,2013,54,73,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36159",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,40,61,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36160",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,31,31,"CIENCIAS DE LA COMPUTACION",1989,5,3,"Si"
"36161",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,47,66,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36162",964,"ORGANIZACION COMPUTACIONAL",2,5,2016,2012,24,24,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36163",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,35,35,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36164",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,45,45,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36165",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,38,57,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36166",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,44,69,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36167",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,58,71,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36168",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,43,56,"CIENCIAS DE LA COMPUTACION",1992,5,3,"Si"
"36169",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,49,62,"CIENCIAS DE LA COMPUTACION",1993,5,3,"Si"
"36170",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,37,43,"CIENCIAS DE LA COMPUTACION",1992,5,3,"Si"
"36171",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,39,64,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36172",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,0,0,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36173",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,0,0,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36174",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,29,29,"CIENCIAS DE LA COMPUTACION",1985,5,3,"Si"
"36175",964,"ORGANIZACION COMPUTACIONAL",1,6,2017,2014,64,89,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36176",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,23,23,"CIENCIAS DE LA COMPUTACION",1992,5,3,"Si"
"36177",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,0,0,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36178",964,"ORGANIZACION COMPUTACIONAL",2,5,2016,2014,42,55,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36179",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2014,0,0,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36180",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2015,40,46,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36181",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,57,63,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36182",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,59,84,"CIENCIAS DE LA COMPUTACION",1996,5,3,"Si"
"36183",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,45,51,"CIENCIAS DE LA COMPUTACION",1995,5,3,"Si"
"36184",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,36,36,"CIENCIAS DE LA COMPUTACION",1992,5,3,"Si"
"36185",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,57,76,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
"36186",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2012,0,0,"CIENCIAS DE LA COMPUTACION",1991,5,3,"Si"
"36187",964,"ORGANIZACION COMPUTACIONAL",1,5,2016,2013,41,66,"CIENCIAS DE LA COMPUTACION",1994,5,3,"Si"
