nombre_curso,genero_1masc_2feme,periodo,curso,año,año_ingreso_a_la_carrera,zona,nota_total,nombre_area,año_nacimiento
ECONOMIA,2,1,14,2012,2007,48,64,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2012,2009,50,68,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2010,63,83,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2012,2006,45,61,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,2,1,14,2012,2009,0,0,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2012,2006,51,65,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2012,2003,0,0,METODOLOGIA DE SISTEMAS,1985
ECONOMIA,1,1,14,2012,2002,40,40,METODOLOGIA DE SISTEMAS,1983
ECONOMIA,1,5,14,2012,2009,0,0,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2010,59,76,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,2,5,14,2012,2009,44,61,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,2,5,14,2012,2011,53,76,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,5,14,2012,2010,60,81,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,2,5,14,2012,2010,49,66,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,5,14,2012,1999,42,53,METODOLOGIA DE SISTEMAS,1981
ECONOMIA,1,5,14,2012,2009,38,52,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2007,0,0,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,5,14,2012,2007,49,69,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2009,41,41,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2009,46,55,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2011,64,73,METODOLOGIA DE SISTEMAS,1980
ECONOMIA,1,1,14,2013,2011,65,82,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2012,50,68,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2012,57,65,METODOLOGIA DE SISTEMAS,1994
ECONOMIA,1,1,14,2013,2010,42,42,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2012,48,67,METODOLOGIA DE SISTEMAS,1994
ECONOMIA,1,1,14,2013,2012,61,76,METODOLOGIA DE SISTEMAS,1995
ECONOMIA,1,1,14,2013,2011,51,69,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2012,66,87,METODOLOGIA DE SISTEMAS,1994
ECONOMIA,1,1,14,2013,2012,63,86,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2009,20,20,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2009,43,61,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,0,0,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2011,47,47,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2007,23,23,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,1,14,2013,2008,46,53,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,2,1,14,2013,2011,45,65,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2010,44,61,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2010,0,0,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2010,51,74,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2012,45,45,METODOLOGIA DE SISTEMAS,1994
ECONOMIA,2,1,14,2013,2010,55,71,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2009,44,66,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2011,45,62,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,2,1,14,2013,2011,40,49,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2010,60,82,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2011,41,57,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2010,55,76,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,48,61,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2011,43,61,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2011,43,61,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2002,51,70,METODOLOGIA DE SISTEMAS,1979
ECONOMIA,1,1,14,2013,2008,53,69,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2011,41,52,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,51,66,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2011,55,69,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2010,47,61,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,2,1,14,2013,2011,47,61,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2010,51,61,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,1,14,2013,2010,42,48,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2010,42,52,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2010,0,0,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,2,1,14,2013,2011,49,68,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,2,1,14,2013,2010,52,68,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2011,51,71,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2009,48,64,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2010,40,61,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2011,51,61,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2009,26,26,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2008,51,64,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2008,42,54,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2009,49,49,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,54,74,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,1,14,2013,2008,53,65,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2009,44,61,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2011,49,69,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2010,47,61,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2010,65,82,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,2,1,14,2013,2011,44,58,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,1,14,2013,2008,37,43,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,1,14,2013,2007,38,38,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,1,14,2013,2009,0,0,METODOLOGIA DE SISTEMAS,1991
